bank_IDRSSD,name,doc_id,event_date,t0,CAR,alpha,beta,n_est,delisted_flag,S,S_norm,n_design,char_quarter,char_lookahead,filing_type,uninsured_share,size,ROA,NPL_ratio,equity_ratio,deposit_reliance,failed
3401970,FIRST BANK,1,2022-01-20,2022-01-20,0.07513419971904015,0.0013382983318765882,1.1710305392347309,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.4411894058550971,14.735912029160302,0.014113862178912624,0.006155329260399311,0.10622882223544775,0.942490568863343,False
3284070,ALLY BANK,1,2022-01-20,2022-01-20,0.00821474205601071,-0.00013600486335638972,1.332365333408326,200,False,0.1231,0.0243,65,2021-12-31,False,031,0.1549857647583439,18.967761148377527,0.021386413609535932,0.011331514190944593,0.09678856613817845,0.9338343167214417,False
3109043,BANKWELL BANK,1,2022-01-20,2022-01-20,0.019833221411550604,0.0010647335903023604,0.6145461821628908,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.48962903355068693,14.712596044074367,0.012654718046684024,0.009323655744055847,0.09243836253208533,0.9586439596629444,False
762447,"FIRST MID BANK & TRUST, NATIONAL ASSOCIATION",1,2022-01-20,2022-01-20,-0.011150639720466081,0.0005556502982797045,0.9110731225608504,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.3345957030906331,15.599077896465742,0.008255016595396307,0.004531321681792346,0.11515702780417836,0.9497569478799098,False
1216022,SYNCHRONY BANK,1,2022-01-20,2022-01-20,0.026899204456590636,0.00019451994092506222,1.4660795437165357,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.15456297706992675,18.27060176349516,0.046604852203011714,0.011364508945711433,0.13567810001859082,0.8753007918050197,False
3303298,"CITIZENS BANK, NATIONAL ASSOCIATION",1,2022-01-20,2022-01-20,0.00593175967696992,-3.2507633055133324e-05,1.2624621173646853,200,False,0.1231,0.0243,65,2021-12-31,False,031,0.45759598114183425,19.052322861784,0.012272390359322063,0.009947806343774407,0.12092258677566331,0.9500610816924465,False
177920,"MIDDLEFIELD BANKING COMPANY, THE",1,2022-01-20,2022-01-20,-0.0024564292261450857,0.0007228396736503909,0.10538946992490161,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.347400024841209,14.10044134911025,0.015596350974301895,0.0049443292339189735,0.11325216031045297,0.9901050139006448,False
371924,COMMUNITY BANK,1,2022-01-20,2022-01-20,-0.013475291279269094,0.0011429856641379606,0.24491619538180023,200,False,0.1231,0.0243,65,2021-12-31,False,051,0.36087475053306617,14.16870856435507,0.007924906558172762,0.0048618920920536525,0.08869194085752237,0.9597679885921301,False
3221468,VERITEX COMMUNITY BANK,1,2022-01-20,2022-01-20,0.0011701414161420128,0.0010685870216787918,1.3767955390805817,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.6116758223587859,16.09319816488281,0.01545299058375356,0.007997135080702019,0.15329893617032184,0.8970432287669671,False
3637685,FIRST FOUNDATION BANK,1,2022-01-20,2022-01-20,0.01232062763798027,0.0002191163261976663,1.0815264604421184,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.6510019744659561,16.135120993795333,0.010540212949424144,0.0011241653295155627,0.10535651278334589,0.9716854458571954,False
