bank_IDRSSD,holder_RSSD,name,total_assets,failed
3076453,5443938,"BANK OF SOUTHERN CALIFORNIA, NATIONAL ASSOCIATION",2282934.0,False
176101,3596009,ORANGE BANK & TRUST COMPANY,2277724.0,False
785473,3908929,FIRST SAVINGS BANK,2192809.0,False
556815,1142475,"PEOPLES BANK, A CODORUS VALLEY COMPANY",2192138.0,False
3357219,4980409,OPEN BANK,2094205.0,False
3146150,5681262,U.S. CENTURY BANK,2085834.0,False
2808602,2808590,"CAPITAL BANK, NATIONAL ASSOCIATION",2069955.0,False
3271799,5033580,MERIDIAN BANK,2062088.0,False
59316,2365356,WAYNE BANK,2048365.0,False
310978,4523431,WATERSTONE BANK,2027068.0,False
403179,4438366,FIRST FED BANK,2019046.0,False
1864197,3726440,OAK VALLEY COMMUNITY BANK,1968293.0,False
685676,4126609,OPPORTUNITY BANK OF MONTANA,1941231.0,False
3248849,4977397,MAINSTREET BANK,1924469.0,False
785923,2759900,LCNB NATIONAL BANK,1915139.0,False
508346,2038409,HAWTHORN BANK,1913413.0,False
61122,1132672,FIRST UNITED BANK & TRUST,1825844.0,False
767974,3828577,CFBANK NATIONAL ASSOCIATION,1812804.0,False
289515,1118238,FARMERS AND MERCHANTS TRUST COMPANY OF CHAMBERSBURG,1699086.0,False
177920,1398740,"MIDDLEFIELD BANKING COMPANY, THE",1684434.0,False
754929,1139925,"NATIONAL BANK OF BLACKSBURG, THE",1674446.0,False
2328137,2337401,FIRST COMMUNITY BANK,1672295.0,False
2708122,4517261,VIRGINIA NATIONAL BANK,1621725.0,False
220527,2818245,PEOPLES BANK,1620439.0,False
3595271,5756133,"BANK OF PRINCETON, THE",1601779.0,False
921178,3180060,RIVERVIEW BANK,1597455.0,False
18854,3256134,BANK7,1583235.0,False
821906,2693273,SALISBURY BANK AND TRUST COMPANY,1541582.0,False
768074,3843628,FIRST FINANCIAL NORTHWEST BANK,1502767.0,False
481177,3030307,LANDMARK NATIONAL BANK,1498800.0,False
522847,1249712,"LIMESTONE BANK, INC",1453555.0,False
371924,3333718,COMMUNITY BANK,1407091.0,False
729310,2596776,PATHFINDER BANK,1404490.0,False
186221,1076673,"OLD POINT NATIONAL BANK OF PHOEBUS, THE",1347151.0,False
333203,1114940,UNION BANK,1335789.0,False
419675,5371947,FIRST BANK RICHMOND,1324581.0,False
29636,1083475,"CITIZENS BANK OF PHILADELPHIA, THE",1323586.0,False
1162017,3015975,UNITED SECURITY BANK,1300337.0,False
498317,2012436,"OHIO VALLEY BANK COMPANY, THE",1193379.0,False
716374,2867458,FIRST HARRISON BANK,1146163.0,False
561574,561574,SUMMIT STATE BANK,1115484.0,False
1412712,2626299,"COMMUNITY WEST BANK, NATIONAL ASSOCIATION",1091378.0,False
780218,1136009,"UNION BANK COMPANY, THE",1084777.0,False
2236821,2840479,"PATRIOT BANK, NATIONAL ASSOCIATION",1044183.0,False
749635,1129533,AUBURNBANK,1023366.0,False
676478,3805279,MALVERN BANK NA,1017629.0,False
119528,1480944,"FARMERS NATIONAL BANK OF EMLENTON, THE",1011490.0,False
2787770,3217032,BANK OF THE JAMES,918549.0,False
321273,5535301,AFFINITY BANK,791958.0,False
584724,1071502,UNIFIED BANK,755071.0,False
2760232,3251027,VILLAGE BANK,723014.0,False
268677,2531245,CARVER FEDERAL SAVINGS BANK,712939.0,False
246022,2297701,"BANK OF SOUTH CAROLINA, THE",653333.0,False
2953418,3251661,OPTIMUMBANK,583694.0,False
628123,2001328,"BANK OF GLEN BURNIE, THE",381433.0,False
