==============================================================================================================
RECONCILIATION — refactored pipeline against the pre-refactor values
==============================================================================================================

  Every headline number is recomputed by the new code and compared
  against config.FROZEN. The results are final; a mismatch here is a
  bug in the refactor, not a finding.

  key                                                               frozen       recomputed     abs diff  status
  rq2.robust.snorm.beta.uninsured_share.coef                    0.01038347       0.01038347     3.38e-09  match
  rq2.robust.snorm.beta.uninsured_share.p                       0.97035077       0.97035077     2.49e-09  match
  rq2.robust.snorm.beta_excustody.score_ols.coef               -1.79037101      -1.79037101     3.30e-09  match
  rq2.robust.snorm.beta_excustody.score_ols.p                   0.03015094       0.03015094     7.17e-10  match
  rq2.robust.snorm.beta_excustody.score_rf.coef                -1.96050025      -1.96050025     4.70e-09  match
  rq2.robust.snorm.beta_excustody.score_rf.p                    0.08751632       0.08751632     4.75e-09  match
  rq2.robust.snorm.beta_excustody.uninsured_share.coef          0.05725998       0.05725998     3.52e-09  match
  rq2.robust.snorm.beta_excustody.uninsured_share.p             0.83666714       0.83666714     1.89e-09  match
  rq2.robust.snorm.delta1.score_ols.coef                        0.01232232       0.01232232     1.27e-09  match
  rq2.robust.snorm.delta1.score_ols.p                           0.78213952       0.78213952     1.73e-09  match
  rq2.robust.snorm.delta1.score_rf.coef                         0.06011100       0.06011100     1.34e-09  match
  rq2.robust.snorm.delta1.score_rf.p                            0.33223292       0.33223292     3.31e-09  match
  rq2.robust.snorm.delta1.uninsured_share.coef                 -0.01877493      -0.01877493     2.14e-09  match
  rq2.robust.snorm.delta1.uninsured_share.p                     0.00032066       0.00032066     1.94e-09  match
  rq2.robust.snorm.gamma1.coef                                  0.08813715       0.08813715     2.26e-09  match
  rq2.robust.snorm.gamma1.p                                     0.71072530       0.71072530     3.31e-09  match
  rq2.robust.snorm.gamma1.se                                    0.23095404       0.23095404     6.12e-12  match
  rq2.robust.thresh9.beta.score_ols.coef                       -0.47104505      -0.47104505     6.88e-10  match
  rq2.robust.thresh9.beta.score_ols.p                           0.03853969       0.03853969     1.98e-10  match
  rq2.robust.thresh9.beta.score_rf.coef                        -0.71275593      -0.71275593     4.69e-09  match
  rq2.robust.thresh9.beta.score_rf.p                            0.04204450       0.04204450     3.79e-09  match
  rq2.robust.thresh9.beta.uninsured_share.coef                 -0.01494172      -0.01494172     1.12e-09  match
  rq2.robust.thresh9.beta.uninsured_share.p                     0.76210470       0.76210470     2.85e-09  match
  rq2.robust.thresh9.beta_excustody.score_ols.coef             -0.29867817      -0.29867817     3.18e-09  match
  rq2.robust.thresh9.beta_excustody.score_ols.p                 0.04765666       0.04765666     2.15e-09  match
  rq2.robust.thresh9.beta_excustody.score_rf.coef              -0.45042440      -0.45042440     1.37e-09  match
  rq2.robust.thresh9.beta_excustody.score_rf.p                  0.05798860       0.05798860     3.92e-09  match
  rq2.robust.thresh9.beta_excustody.uninsured_share.coef       -0.00866735      -0.00866735     4.05e-09  match
  rq2.robust.thresh9.beta_excustody.uninsured_share.p           0.86108420       0.86108420     4.24e-09  match
  rq2.robust.thresh9.bw_significant                             0.00000000       0.00000000     0.00e+00  match
  rq2.robust.thresh9.delta1.score_ols.coef                      0.02915844       0.02915844     4.20e-09  match
  rq2.robust.thresh9.delta1.score_ols.p                         0.56042668       0.56042668     3.05e-10  match
  rq2.robust.thresh9.delta1.score_rf.coef                       0.07180388       0.07180388     4.76e-09  match
  rq2.robust.thresh9.delta1.score_rf.p                          0.21294273       0.21294273     2.62e-09  match
  rq2.robust.thresh9.delta1.uninsured_share.coef               -0.01406690      -0.01406690     1.27e-09  match
  rq2.robust.thresh9.delta1.uninsured_share.p                   0.01691491       0.01691491     2.01e-09  match
  rq2.robust.thresh9.gamma1.coef                               -0.00841209      -0.00841209     1.77e-09  match
  rq2.robust.thresh9.gamma1.p                                   0.84895022       0.84895022     3.46e-09  match
  rq2.robust.thresh9.gamma1.se                                  0.04230458       0.04230458     2.38e-09  match
  rq2.robust.win_base.beta.score_ols.coef                      -0.26387427      -0.26387427     4.94e-09  match
  rq2.robust.win_base.beta.score_ols.p                          0.00285943       0.00285943     1.48e-09  match
  rq2.robust.win_base.beta.score_rf.coef                       -0.38507629      -0.38507629     2.94e-09  match
  rq2.robust.win_base.beta.score_rf.p                           0.01148834       0.01148834     1.63e-09  match
  rq2.robust.win_base.beta.uninsured_share.coef                -0.00049680      -0.00049680     3.39e-09  match
  rq2.robust.win_base.beta.uninsured_share.p                    0.98188477       0.98188477     3.52e-09  match
  rq2.robust.win_base.beta_excustody.score_ols.coef            -0.12160487      -0.12160487     4.81e-09  match
  rq2.robust.win_base.beta_excustody.score_ols.p                0.11229032       0.11229032     1.63e-09  match
  rq2.robust.win_base.beta_excustody.score_rf.coef             -0.13316361      -0.13316361     4.68e-09  match
  rq2.robust.win_base.beta_excustody.score_rf.p                 0.11626604       0.11626604     2.09e-09  match
  rq2.robust.win_base.beta_excustody.uninsured_share.coef       0.00372397       0.00372397     4.92e-09  match
  rq2.robust.win_base.beta_excustody.uninsured_share.p          0.86682439       0.86682439     3.93e-09  match
  rq2.robust.win_base.bw_significant                            0.00000000       0.00000000     0.00e+00  match
  rq2.robust.win_base.delta1.score_ols.coef                     0.01232232       0.01232232     1.27e-09  match
  rq2.robust.win_base.delta1.score_ols.p                        0.78213952       0.78213952     1.73e-09  match
  rq2.robust.win_base.delta1.score_rf.coef                      0.06011100       0.06011100     1.34e-09  match
  rq2.robust.win_base.delta1.score_rf.p                         0.33223292       0.33223292     3.31e-09  match
  rq2.robust.win_base.delta1.uninsured_share.coef              -0.01877493      -0.01877493     2.14e-09  match
  rq2.robust.win_base.delta1.uninsured_share.p                  0.00032066       0.00032066     1.94e-09  match
  rq2.robust.win_base.gamma1.coef                               0.00645428       0.00645428     3.90e-09  match
  rq2.robust.win_base.gamma1.p                                  0.71418685       0.71418685     5.33e-11  match
  rq2.robust.win_base.gamma1.se                                 0.01712870       0.01712870     1.25e-09  match
  rq2.robust.win_m1p3.beta.score_ols.coef                      -0.23185036      -0.23185036     1.47e-09  match
  rq2.robust.win_m1p3.beta.score_ols.p                          0.00051934       0.00051934     4.79e-09  match
  rq2.robust.win_m1p3.beta.score_rf.coef                       -0.30880869      -0.30880869     4.27e-09  match
  rq2.robust.win_m1p3.beta.score_rf.p                           0.00129787       0.00129787     3.99e-10  match
  rq2.robust.win_m1p3.beta.uninsured_share.coef                -0.01231038      -0.01231038     2.73e-09  match
  rq2.robust.win_m1p3.beta.uninsured_share.p                    0.24163661       0.24163661     2.58e-09  match
  rq2.robust.win_m1p3.beta_excustody.score_ols.coef            -0.11193718      -0.11193718     6.94e-10  match
  rq2.robust.win_m1p3.beta_excustody.score_ols.p                0.17085228       0.17085228     3.71e-09  match
  rq2.robust.win_m1p3.beta_excustody.score_rf.coef             -0.09194120      -0.09194120     2.99e-09  match
  rq2.robust.win_m1p3.beta_excustody.score_rf.p                 0.35978762       0.35978762     2.49e-09  match
  rq2.robust.win_m1p3.beta_excustody.uninsured_share.coef      -0.00832452      -0.00832452     2.77e-09  match
  rq2.robust.win_m1p3.beta_excustody.uninsured_share.p          0.40547894       0.40547894     3.16e-09  match
  rq2.robust.win_m1p3.bw_significant                            0.00000000       0.00000000     0.00e+00  match
  rq2.robust.win_m1p3.delta1.score_ols.coef                     0.01788361       0.01788361     8.29e-10  match
  rq2.robust.win_m1p3.delta1.score_ols.p                        0.56711705       0.56711705     2.31e-09  match
  rq2.robust.win_m1p3.delta1.score_rf.coef                      0.01333148       0.01333148     2.66e-10  match
  rq2.robust.win_m1p3.delta1.score_rf.p                         0.75866998       0.75866998     1.89e-09  match
  rq2.robust.win_m1p3.delta1.uninsured_share.coef              -0.00853550      -0.00853550     4.04e-09  match
  rq2.robust.win_m1p3.delta1.uninsured_share.p                  0.03629983       0.03629983     4.99e-09  match
  rq2.robust.win_m1p3.gamma1.coef                              -0.00141596      -0.00141596     3.42e-09  match
  rq2.robust.win_m1p3.gamma1.p                                  0.88970547       0.88970547     1.44e-09  match
  rq2.robust.win_m1p3.gamma1.se                                 0.00995380       0.00995380     4.63e-09  match
  rq2.robust.win_m5p5.beta.score_ols.coef                      -0.30500037      -0.30500037     8.73e-10  match
  rq2.robust.win_m5p5.beta.score_ols.p                          0.06222672       0.06222672     4.93e-09  match
  rq2.robust.win_m5p5.beta.score_rf.coef                       -0.46015136      -0.46015136     4.04e-09  match
  rq2.robust.win_m5p5.beta.score_rf.p                           0.05043008       0.05043008     2.40e-09  match
  rq2.robust.win_m5p5.beta.uninsured_share.coef                -0.01328510      -0.01328510     4.46e-10  match
  rq2.robust.win_m5p5.beta.uninsured_share.p                    0.59112222       0.59112222     2.77e-10  match
  rq2.robust.win_m5p5.beta_excustody.score_ols.coef            -0.13272511      -0.13272511     3.78e-09  match
  rq2.robust.win_m5p5.beta_excustody.score_ols.p                0.22455093       0.22455093     3.32e-09  match
  rq2.robust.win_m5p5.beta_excustody.score_rf.coef             -0.15957310      -0.15957310     4.11e-09  match
  rq2.robust.win_m5p5.beta_excustody.score_rf.p                 0.17653026       0.17653026     3.81e-09  match
  rq2.robust.win_m5p5.beta_excustody.uninsured_share.coef      -0.00792083      -0.00792083     9.37e-10  match
  rq2.robust.win_m5p5.beta_excustody.uninsured_share.p          0.74548098       0.74548098     1.31e-10  match
  rq2.robust.win_m5p5.bw_significant                            1.00000000       1.00000000     0.00e+00  match
  rq2.robust.win_m5p5.delta1.score_ols.coef                    -0.00429454      -0.00429454     1.63e-09  match
  rq2.robust.win_m5p5.delta1.score_ols.p                        0.93203169       0.93203169     1.10e-09  match
  rq2.robust.win_m5p5.delta1.score_rf.coef                      0.07300125       0.07300125     1.25e-10  match
  rq2.robust.win_m5p5.delta1.score_rf.p                         0.27772735       0.27772735     3.35e-09  match
  rq2.robust.win_m5p5.delta1.uninsured_share.coef              -0.01884552      -0.01884552     4.03e-09  match
  rq2.robust.win_m5p5.delta1.uninsured_share.p                  0.00312915       0.00312915     2.42e-09  match
  rq2.robust.win_m5p5.gamma1.coef                               0.00932925       0.00932925     8.82e-10  match
  rq2.robust.win_m5p5.gamma1.p                                  0.57029546       0.57029546     2.35e-09  match
  rq2.robust.win_m5p5.gamma1.se                                 0.01589635       0.01589635     5.81e-10  match

  checked 220 of 220 keys; 0 mismatch(es); 0 not present in this run

  INTENDED CHANGE, not a mismatch: the headline standard error for
  the RQ3 interaction is now the EVENT-clustered one, because the
  two-way covariance is not PSD at this sample size. The archived
  custody-drop p was two-way clustered and still reconciles above;
  the new headline figure is 0.09978791 (event-clustered).

  All recomputed numbers match the frozen values. The refactor is
  behaviour-preserving.

