bank_IDRSSD,name,doc_id,event_date,t0,CAR,alpha,beta,n_est,delisted_flag,S,S_norm,n_design,char_quarter,char_lookahead,filing_type,uninsured_share,size,ROA,NPL_ratio,equity_ratio,deposit_reliance,failed,score_rf,is_trust_or_specialized,score_ols
2328137,FIRST COMMUNITY BANK,3,2022-02-18,2022-02-18,-0.0285380795970639,0.0003694835787552,0.2907886058375158,200,False,1.0,0.0405,3,2021-12-31,False,41,0.27739713232714,14.27543733585346,0.0103575978655999,0.0002882334162435,0.0956584707422797,0.9529753099433904,False,-0.0087629933296706,False,0.000302208434484
204004,PROVIDENT BANK,3,2022-02-18,2022-02-18,0.0073657920743589,0.0002521355469409,1.002225121534125,200,False,1.0,0.0405,3,2021-12-31,False,41,0.4785432964422322,16.438396475149656,0.0122836173210241,0.0050123027161157,0.1184394291833258,0.9289525599669493,False,-0.0192600814394927,False,-0.0115192781932988
3465226,HTLF BANK,3,2022-02-18,2022-02-18,-0.0096128227871734,-0.0003833615553534,1.1748379665501578,200,False,1.0,0.0405,3,2021-12-31,False,41,0.4613848780472906,14.807537507109885,0.0117777501719697,0.0057098101913849,0.1401433977516923,0.9884171399418054,False,0.0049562238917984,False,0.0076507172583605
2953418,OPTIMUMBANK,3,2022-02-18,2022-02-18,-0.0780285176423321,0.0002551351538288,0.9807401901585084,200,False,1.0,0.0405,3,2021-12-31,False,41,0.6092124611484699,12.765799855829323,0.015461134330746,0.0,0.1038827102122906,0.9344132161848532,False,-0.0185191832208396,False,-0.016070309506327
2618780,TEXAS CAPITAL BANK,3,2022-02-18,2022-02-18,0.0185319363839289,-0.001912142937816,1.3096703712852,200,False,1.0,0.0405,3,2021-12-31,False,41,0.8046122706275316,17.363004168138335,0.0077445624511841,0.003504480830812,0.0904907137616756,0.9038852385441576,False,0.0047207506463947,False,0.0051358936514617
354310,UNIVEST BANK AND TRUST CO.,3,2022-02-18,2022-02-18,-0.0127673678260413,3.7998807433685984e-05,1.135038742549484,200,False,1.0,0.0405,3,2021-12-31,False,41,0.4834790531902933,15.775700689578496,0.0140461254609947,0.0063222845902096,0.1072830097749834,0.970947144573305,False,-0.0170681702604492,False,-0.0194272369833061
703767,CENTRAL VALLEY COMMUNITY BANK,3,2022-02-18,2022-02-18,0.0095966743439551,0.0006336453459894,0.7403214208264794,200,False,1.0,0.0405,3,2021-12-31,False,41,0.4775911949421876,14.711593276384384,0.0119082264518138,0.0009103935960643,0.1074107740163519,0.9817201321363508,False,0.0067390097771998,False,0.0067237302865851
2942690,SIGNATURE BANK,3,2022-02-18,2022-02-18,0.0126740397337007,0.0013904186962144,1.5564110543274352,200,False,1.0,0.0405,3,2021-12-31,False,41,0.8922653917167633,18.58996288081662,0.0077541279833454,0.0035783534672868,0.0661960381129783,0.9597577081842796,True,-0.0061966218590513,False,0.0125920275589539
2849801,SOUTHERN FIRST BANK,3,2022-02-18,2022-02-18,0.0306979532202676,0.0009194284219969,1.1482410822739284,200,False,1.0,0.0405,3,2021-12-31,False,41,0.5193261752037432,14.889126012771412,0.0164477113159228,0.0019429319658245,0.1030359826366851,0.983698754258968,False,-0.0176819572642997,False,-0.0085758726134658
2858960,"BANCORP BANK NATIONAL ASSOCIATION, THE",3,2022-02-18,2022-02-18,0.014542207973612,5.961992526001078e-06,1.7895811635387049,200,False,1.0,0.0405,3,2021-12-31,False,41,0.2013315807861186,15.739424847776167,0.0178704997729167,0.0046963917325133,0.100215692545391,0.9811463577962504,False,-0.0091461265900908,False,-0.027675160093887
895710,CITIZENS & NORTHERN BANK,3,2022-02-18,2022-02-18,-0.0267875387824551,0.0003583792514072,0.7794018840995555,200,False,1.0,0.0405,3,2021-12-31,False,51,0.2665976559848135,14.653283052902006,0.0138130929516232,0.0135471196249354,0.1292814638893083,0.973514919380486,False,-0.0208720579212028,False,-0.0196418706389245
2372774,"SUMMIT COMMUNITY BANK, INC.",3,2022-02-18,2022-02-18,0.0186518182034495,9.935925334568228e-05,0.9458408538926636,200,False,1.0,0.0405,3,2021-12-31,False,41,0.2290901885251001,15.084047883089788,0.0137814541821912,0.0045973032485654,0.1179973383192037,0.9429802897938868,False,-0.0204231039558303,False,-0.0274853251209306
1356768,ENTERPRISE BANK AND TRUST COMPANY,3,2022-02-18,2022-02-18,-0.0083361137986293,0.0014372918067694,0.6356245286468979,200,False,1.0,0.0405,3,2021-12-31,False,41,0.3688766567392058,15.307924421638551,0.0101926359863114,0.0090807495778386,0.0910504676561703,0.9850048592042778,False,-0.0139326283966424,False,-0.0223212012934356
1190476,ENTERPRISE BANK & TRUST,3,2022-02-18,2022-02-18,0.0074567080712987,-0.000464242897266,1.0313723598227476,200,False,1.0,0.0405,3,2021-12-31,False,41,0.5211040645719227,16.418124833157968,0.0104944209867084,0.003506858520322,0.1162158746489179,0.9595616478774128,False,-0.0166686178804146,False,-0.0187605060026633
633378,KEARNY BANK,3,2022-02-18,2022-02-18,0.006877847196323,7.396137374826012e-05,0.932189698779436,200,False,1.0,0.0405,3,2021-12-31,False,41,0.2219518716864285,15.787347679425553,0.0103154821181141,0.0149077703379222,0.1170097643857858,0.8820033168959908,False,-0.0202467796242904,False,0.0001234972998595
1918344,PREFERRED BANK,3,2022-02-18,2022-02-18,0.0003940258754967,0.0003992034911845,1.0070194379600346,200,False,1.0,0.0405,3,2021-12-31,False,41,0.6338543584485739,15.61510773198213,0.0157494091077688,0.0033397346415913,0.0970229085771936,0.9573924918500948,False,-0.0217295683423094,False,-0.0221508808136698
3138146,WESTERN ALLIANCE BANK,3,2022-02-18,2022-02-18,-0.0098151136341503,0.0002732088678698,1.5548580615509264,200,False,1.0,0.0405,3,2021-12-31,False,41,0.7555226950998715,17.84081389038732,0.014528595418507,0.0132213236646746,0.0939037909190323,0.9461712380476892,False,-0.0194486192675623,False,-0.0082739910871124
537449,FIRST BUSINESS BANK,3,2022-02-18,2022-02-18,-0.0110155979411933,0.0005021520975221,0.5497223051252754,200,False,1.0,0.0405,3,2021-12-31,False,41,0.522341256670156,14.790239617572356,0.015132153080478,0.0028346243253389,0.0999785319393053,0.820952428063171,False,-0.0208753934446622,False,-0.0168697480094645
310978,WATERSTONE BANK,3,2022-02-18,2022-02-18,0.0059242353735987,0.0003739116447728,0.5394466765214204,200,False,1.0,0.0405,3,2021-12-31,False,41,0.1955544043713543,14.608291738947168,0.0320710303942054,0.0036706720938701,0.171188662943708,0.725228609840298,False,-0.0216454610665894,False,-0.0243812694350814
220527,PEOPLES BANK,3,2022-02-18,2022-02-18,-0.0061886238608484,0.0007001353298936,0.1807732766070274,200,False,1.0,0.0405,3,2021-12-31,False,41,0.3030759190530499,14.300171861709584,0.0097485564708599,0.0036353159123292,0.0959063823235045,0.9634854749170418,False,-0.0013568356008304,False,-0.0011250430244896
2954059,BCB COMMUNITY BANK,3,2022-02-18,2022-02-18,-0.0137321278017277,0.0002925598357997,0.6785580809706889,200,False,1.0,0.0405,3,2021-12-31,False,41,0.3625745037598352,14.902797287252469,0.0121521872150198,0.0079939804004501,0.1035545299312423,0.9646824993888796,False,-0.021079043922725,False,-0.0202595160182626
2385514,"FIRST BANK, THE",3,2022-02-18,2022-02-18,-0.0214195942508587,-0.0001964616036277,1.1825751939325453,200,False,1.0,0.0405,3,2021-12-31,False,41,0.3848299909170613,15.618360466950184,0.0121801647724303,0.0094562910673284,0.127942332451446,0.994483714625178,False,-0.008057377130006,False,-0.0077014180970995
456045,CENTENNIAL BANK,3,2022-02-18,2022-02-18,0.0154978100226115,-0.0008832761450005,1.3617955349713111,200,False,1.0,0.0405,3,2021-12-31,False,41,0.4772752901546197,16.706863334504256,0.01868049842413,0.005102840661279,0.1560700394784741,0.9570229458801792,False,-0.0198930677655662,False,-0.0109563255029057
561574,SUMMIT STATE BANK,3,2022-02-18,2022-02-18,-0.011090018105842,0.0002461477222347,0.1222515447872581,200,False,1.0,0.0405,3,2021-12-31,False,51,0.3928610152784623,13.772686560773346,0.0153410988643954,0.0005844121557728,0.0879696893787575,0.9288187887818466,False,-0.0195710692615911,False,-0.018717515474195
522847,"LIMESTONE BANK, INC",3,2022-02-18,2022-02-18,-0.0273849233559972,0.001127859346499,0.0154285475338479,200,False,1.0,0.0405,3,2021-12-31,False,51,0.233147935557722,14.157594874507286,0.0124357277862657,0.0031182592846569,0.1175392203449302,0.9766813855141429,False,-0.018319304500482,False,-0.0286994288367177
663245,SIMMONS BANK,3,2022-02-18,2022-02-18,0.0048382165931993,-0.0003402064816417,1.182508389112976,200,False,1.0,0.0405,3,2021-12-31,False,41,0.44671495473026,17.021736468981896,0.0121978499007362,0.0057755757084469,0.1387002554996924,0.9194899779299284,False,-0.0128627151169667,False,-0.0057483728048818
30810,DISCOVER BANK,3,2022-02-18,2022-02-18,0.0013873521683721,0.0005368441139912,1.437554078182953,200,False,1.0,0.0405,3,2021-12-31,False,31,0.1087557511308155,18.5008083034105,0.0472486860791855,0.0085360245868728,0.1097398172163717,0.7830318396298916,False,-0.0488497303672009,True,-0.085386061965178
768074,FIRST FINANCIAL NORTHWEST BANK,3,2022-02-18,2022-02-18,-0.0222421809595255,0.0009106386357417,0.1580638622615618,200,False,1.0,0.0405,3,2021-12-31,False,51,0.37293166312302,14.170712016856914,0.009521419337833,0.0,0.1048484789003328,0.9171473210614728,False,-0.0181562009658657,False,-0.0098608459192504
2797724,TOWNEBANK,3,2022-02-18,2022-02-18,0.0077296394559449,-0.0001542723799694,1.1610841091192436,200,False,1.0,0.0405,3,2021-12-31,False,41,0.5059886325195097,16.610435398930242,0.0131640943418102,0.0006432112022757,0.1160851220607724,0.9495402043983676,False,-0.0100030926294934,False,-0.0024450599699759
28013,NORTHFIELD BANK,3,2022-02-18,2022-02-18,0.0063711690437399,0.000231760222893,0.6842088262396965,200,False,1.0,0.0405,3,2021-12-31,False,41,0.3728840296684865,15.508500152874102,0.0130536837250425,0.0029004756717053,0.1293368093607694,0.8894083162566069,False,-0.0193668149128005,False,-0.0207106394826041
836843,MIDWESTONE BANK,3,2022-02-18,2022-02-18,-0.0127089637005022,-1.14547600240916e-05,1.0119419679771993,200,False,1.0,0.0405,3,2021-12-31,False,41,0.409083955354076,15.61117572335482,0.0126908365263933,0.009680996731359,0.1002249530171927,0.9491883153126042,False,-0.0030520663856148,False,0.0041162610346105
676478,MALVERN BANK NA,3,2022-02-18,2022-02-18,0.001768427352961,-0.00078155214082,0.0456327890707666,200,False,1.0,0.0405,3,2021-12-31,False,51,0.5786687683941868,13.956298061228564,0.0010024496603485,0.0174711063937876,0.139271008877847,0.9296495750130696,False,-0.0217230514974909,False,-0.0088053985840742
23504,DIME COMMUNITY BANK,3,2022-02-18,2022-02-18,-0.0133770249531498,0.0003108593036854,1.076073034973258,200,False,1.0,0.0405,3,2021-12-31,False,41,0.555949278565192,16.305149243987806,0.0093388700712014,0.0046817598928623,0.1133620454777874,0.9807523908084964,False,-0.0182802333670992,False,-0.01063833128804
785473,FIRST SAVINGS BANK,3,2022-02-18,2022-02-18,-0.0290772881259955,0.0007120614652045,0.3746140212528002,200,False,1.0,0.0405,3,2021-12-31,False,41,0.3169241704153375,14.380219638748503,0.0138748652594523,0.0096522739492497,0.1110779471225786,0.8152398665350864,False,-0.0191524642145407,False,-0.0003234198411315
929978,"HOME BANK, NATIONAL ASSOCIATION",3,2022-02-18,2022-02-18,-0.0226734022836439,0.0003147872729227,0.875136086204682,200,False,1.0,0.0405,3,2021-12-31,False,41,0.336502323296033,14.891221603581084,0.0166318960927697,0.0072099835052957,0.1171459685403896,0.9811983020911722,False,-0.0180096215997164,False,-0.0150070335005314
1864197,OAK VALLEY COMMUNITY BANK,3,2022-02-18,2022-02-18,0.0348270392280616,-0.0002524393259114,0.5277522587204284,200,False,1.0,0.0405,3,2021-12-31,False,41,0.4736076093669412,14.490775805513277,0.0086421650919241,0.0,0.072535038487107,0.991757109417663,False,0.0138238464255736,False,0.0171876653761752
342410,ORRSTOWN BANK,3,2022-02-18,2022-02-18,-0.0072439340209749,0.0003536751751171,0.8252305153215642,200,False,1.0,0.0405,3,2021-12-31,False,41,0.296074025647473,14.85720393352161,0.0127480053013184,0.0038464361888806,0.1004145360005532,0.9749705425043028,False,-0.0192904909247105,False,-0.0218270102529899
119528,"FARMERS NATIONAL BANK OF EMLENTON, THE",3,2022-02-18,2022-02-18,-0.0409224232712984,0.0003879592985688,0.0634243463145538,200,False,1.0,0.0405,3,2021-12-31,False,51,0.2843534719258672,13.868271874280154,0.0102658184860621,0.0042206577044072,0.0888360409722077,0.9563146974219414,False,,,
685676,OPPORTUNITY BANK OF MONTANA,3,2022-02-18,2022-02-18,-0.0170336095625944,-0.0003234992134917,0.3423734144036716,200,False,1.0,0.0405,3,2021-12-31,False,51,0.2006654532442476,14.173779231241465,0.0117321871614774,0.0057260067698481,0.124293252262641,0.9791126132776804,False,-0.015402551175442,False,-0.0079532664855848
613008,ROCKLAND TRUST COMPANY,4,2022-05-26,2022-05-26,-0.000594326744552,0.0004285203497875,0.8414377082570084,200,False,1.0,0.0889,4,2022-03-31,False,41,0.3286433194731111,16.81899917317792,0.0106721016802666,0.0041675465442029,0.1438486723130345,0.9829543956414898,False,-0.0158760513078972,False,-0.0166832689695602
433608,TOMPKINS COMMUNITY BANK,4,2022-05-26,2022-05-26,-0.0293452491436683,0.0001259934484287,0.73115325820809,200,False,1.0,0.0889,4,2022-03-31,False,41,0.434447288734158,15.875023971973087,0.0114448162386018,0.0049768418857332,0.0748374840429662,0.971577194535902,False,-0.0148771822868522,False,-0.0175491947527171
379920,FIRST NATIONAL BANK OF PENNSYLVANIA,4,2022-05-26,2022-05-26,-0.0059997372011753,0.0001238171744475,0.9793491748146448,200,False,1.0,0.0889,4,2022-03-31,False,41,0.4149225062970639,17.552378640818215,0.0049446283735571,0.0039915232641928,0.1310438513486126,0.9402601215156536,False,-0.0139327318777742,False,-0.0099135656336968
491224,FIRST-CITIZENS BANK & TRUST COMPANY,4,2022-05-26,2022-05-26,0.0103007072588934,-0.0011245664640811,1.1444562209758034,200,False,1.0,0.0889,4,2022-03-31,False,31,0.3335816295700257,18.50199505510309,0.010076704431107,0.0087333473334666,0.09971223876632,0.9392882764324638,False,-0.0173391233094819,False,-0.0070457123459857
246022,"BANK OF SOUTH CAROLINA, THE",4,2022-05-26,2022-05-26,0.0168728119780845,-0.0003569030230167,0.1363217447571463,200,False,1.0,0.0889,4,2022-03-31,False,41,0.4364363421161822,13.407140735254377,0.009290948395822,0.0019840457527249,0.0669246148453589,0.975304959645044,False,0.0138078723296275,False,0.0211969779343315
437914,"WILMINGTON SAVINGS FUND SOCIETY, FSB",4,2022-05-26,2022-05-26,0.0158924705633078,-0.0004289096611642,0.8650651850820862,200,False,1.0,0.0889,4,2022-03-31,False,41,0.447850956933254,16.8536827804441,0.0015072553556637,0.0030435543945251,0.1249022622631986,0.9741528534985602,False,-0.0135358011532707,True,-0.0097746266517213
761806,"WEBSTER BANK, NATIONAL ASSOCIATION",4,2022-05-26,2022-05-26,0.0404152295173941,-0.0001236508222127,1.1637306998168595,200,False,1.0,0.0889,4,2022-03-31,False,31,0.4102823050226007,17.99011717303277,0.0013275241666601,0.0053978175137308,0.134156370220262,0.9705494272721564,False,-0.0215936457984246,False,-0.0058287569871804
